2011-09-01,254.895
2011-10-01,255.651
2011-11-01,256.207
2011-12-01,256.800
2012-01-01,257.267
2012-02-01,257.842
2012-03-01,258.335
2012-04-01,258.977
2012-05-01,259.481
2012-06-01,259.893
2012-07-01,260.476
2012-08-01,260.999
2012-09-01,261.620
2012-10-01,262.631
2012-11-01,263.137
2012-12-01,263.669
2013-01-01,264.245
2013-02-01,264.904
2013-03-01,265.603
2013-04-01,266.094
2013-05-01,266.841
2013-06-01,267.451
2013-07-01,267.870
2013-08-01,268.837
2013-09-01,269.315
2013-10-01,269.822
2013-11-01,270.387
2013-12-01,271.220
2014-01-01,271.918
2014-02-01,272.461
2014-03-01,273.341
2014-04-01,274.255
2014-05-01,275.013
2014-06-01,275.819
2014-07-01,276.663
2014-08-01,277.319
2014-09-01,278.149
2014-10-01,278.797
2014-11-01,279.758
2014-12-01,280.383
2015-01-01,281.223
2015-02-01,282.171
2015-03-01,283.056
2015-04-01,283.786
2015-05-01,284.559
2015-06-01,285.477
2015-07-01,286.435
2015-08-01,287.320
2015-09-01,288.385
2015-10-01,289.236
2015-11-01,289.953
2015-12-01,290.723
2016-01-01,291.700
2016-02-01,292.617
2016-03-01,293.471
2016-04-01,294.397
2016-05-01,295.371
2016-06-01,296.306
2016-07-01,297.192
2016-08-01,298.029
2016-09-01,299.035
2016-10-01,300.215
2016-11-01,301.223
2016-12-01,302.271
2017-01-01,303.156
2017-02-01,304.060
2017-03-01,304.888
2017-04-01,305.692
2017-05-01,306.720
2017-06-01,307.681
2017-07-01,308.490
2017-08-01,309.608
2017-09-01,310.346
2017-10-01,311.330
2017-11-01,312.295
2017-12-01,313.462
2018-01-01,314.531
2018-02-01,315.162
2018-03-01,315.885
2018-04-01,316.960
2018-05-01,317.766
2018-06-01,318.607
2018-07-01,319.642
2018-08-01,320.860
2018-09-01,321.563
2018-10-01,322.447
2018-11-01,323.633
2018-12-01,324.408
2019-01-01,325.335
2019-02-01,326.232
2019-03-01,327.521
2019-04-01,328.878
2019-05-01,329.616
2019-06-01,330.933
2019-07-01,331.904
2019-08-01,332.854
2019-09-01,333.854
2019-10-01,334.500
2019-11-01,335.480
2019-12-01,336.379
2020-01-01,337.550
2020-02-01,338.497
2020-03-01,339.537
2020-04-01,340.336
2020-05-01,341.096
2020-06-01,341.570
2020-07-01,342.259
2020-08-01,342.660
2020-09-01,342.924
2020-10-01,343.445
2020-11-01,343.699
2020-12-01,344.045
2021-01-01,344.479
2021-02-01,345.126
2021-03-01,345.739
2021-04-01,346.464
2021-05-01,347.302
2021-06-01,348.102
2021-07-01,348.782
2021-08-01,349.930
2021-09-01,351.256
2021-10-01,352.727
2021-11-01,354.181
2021-12-01,355.523
2022-01-01,357.455
2022-02-01,359.510
2022-03-01,361.102
2022-04-01,363.151
2022-05-01,365.414
2022-06-01,368.199
2022-07-01,370.776
2022-08-01,373.524
2022-09-01,376.555
2022-10-01,379.260
2022-11-01,382.198
2022-12-01,385.228
2023-01-01,388.066
2023-02-01,391.012
2023-03-01,392.930
2023-04-01,395.115
